[rospy.client][INFO] 2019-03-19 07:06:06,113: init_node, name[/tactic_interface], pid[2979]
[xmlrpc][INFO] 2019-03-19 07:06:06,114: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2019-03-19 07:06:06,115: Started XML-RPC server [http://copter131:59101/]
[rospy.init][INFO] 2019-03-19 07:06:06,115: ROS Slave URI: [http://copter131:59101/]
[rospy.impl.masterslave][INFO] 2019-03-19 07:06:06,116: _ready: http://copter131:59101/
[rospy.registration][INFO] 2019-03-19 07:06:06,117: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2019-03-19 07:06:06,117: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2019-03-19 07:06:06,118: Registering publisher topic [/safety/payload_waypoint] type [autopilot_bridge/LLA] with master
[rospy.registration][INFO] 2019-03-19 07:06:06,126: registering subscriber topic [/autopilot/status] type [autopilot_bridge/Status] with master
[rosout][WARNING] 2019-03-19 07:21:03,638: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:03,738: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:03,838: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:03,938: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,038: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,138: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,238: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,338: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,438: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,538: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,638: tactic_interface, Timed Loop Error: 131 is not in list
[rosout][WARNING] 2019-03-19 07:21:04,738: tactic_interface, Timed Loop Error: 131 is not in list
